num,id,title,street,city,phone,lat,lon,code_wil
106,1595,25.D.BENOTMANE,Cité Bchir Hamma Bouziene Constantine,Hamma Bouziane,07 82 29 16 22,36.418199,6.567662,25
107,1592,25.D.DERARDJA,Cité el meleh N°372 Constantine,Constantine,07 82 29 15 54,36.360155,6.642433,25
108,1596,25.F.MAGRAOUI,"11 Cité Bouhali Laid, El Khroub Constantine",El Khroub,07 82 29 14 97,36.264492,6.687879,25
109,1593,25.I.DJOUABI,Route Nationale N°05 Ain Smara Constantine,Ain Smara,07 82 29 14 98,36.283187,6.471658,25
110,1597,25.S.BEZIANE,Cité DAHDOUH Hocine n°81 Didouche Mourad,Didouche Mourad,07 82 29 14 91,36.456566,6.653122,25
111,1590,25.Y.BOULECHFAR,Cité 55 logements n°32 - Zighoud Youcef - W.Constantine,Constantine,07 70 99 41 07,36.530919,6.70289,25
112,1518,26.1.M.L.HAMMOUDI,Cité mohamedi N°43 Berrouaghia Medea,Berrouaghia,07 82 29 15 36,36.162565,2.917596,26
113,1517,26.M.L.HAMMOUDI,Rue Mokadem Ben Youcef ( Hammam Bouchou ) Medea,Médéa,07 82 29 15 36,36.285385,2.768025,26
114,1679,27.A.REZALI,"Cité 72 logts, route d'Oran, bâtiment B N°13 Mostaganem.",Mostaganem,07 72 90 44 43,35.917746,0.075159,27
115,1680,27.S.BENMEHAL, Cté 122  logts Bt A5 N°24 Mechouma Mostaganem.,Mostaganem,07 82 29 15 21,36.013124,0.140138,27
116,1670,28-01.10 - Agence M'SILA,Cité administratif M'sila,M'sila,07 82 29 16 23 / 05 54 80 34 24,35.707783,4.535624,28
117,1658,28.1.R.TIOUB,Cité 110 LSP BTS E local E5 - M'sila,M'sila,07 82 29 15 45,35.677109,4.541814,28
118,1659,28.2.R.TIOUB,Local N°51/37 RDC Bat N°07 Ouled Derradj Wilaya de M'sila,Ouled Derradj,07 82 29 15 45,35.623889,4.789873,28
119,1660,28.3.R.TIOUB,Cité Houari Boumedienne Berhoum - M'sila,Berhoum,07 82 29 15 45,35.647765,5.007845,28
120,1661,28.B.BOUCHERIF,Cité  19  juin 1965 baladiat  Sidi  Aissa  W.  M’SILA,Sidi Aissa,07 82 29 15 50,35.814777,3.7029,28
121,1657,28.R.TIOUB,CITE ELHOURANE HAMMAM DALAA,Hammam Delaa,07 82 29 15 45,35.944519,4.37707,28
122,1695,29-01.10 - Agence MASCARA,"03, rue IKHLEF Bélaid - Mascara",Mascara,07 82 29 15 22 / 05 54 80 32 44,35.394474,0.14102,29
123,1515,30.L.Merizgui, Cité Fadila Saadane commune et daira de Hassi Massaoud wilaya de OUARGLA,Hassi Messaoud,07 70 63 29 63,30.416772,5.393955,30
124,1686,31-01.10 - Agence POINT DU JOUR,123 Rue A cité point du jour Oran,Oran,07 82 29 15 23 / 05 54 80 22 64,35.709364,-0.601621,31
125,1687,31-01.20 - Agence GENERAL FERRADO,88 rue Général HAMRI (EX Général FERRADO ) SEDDIKIA -Oran,Oran,07 82 29 15 24 / 05 54 80 33 17,35.710145,-0.611252,31
