num,name,address,tel,fax,website,lon,lat,acronym,code_wil
54,Conservation des Forêts BATNA,NOUVELLE CITE ADMINISTRATIVE (Ex-La Verdure)  BATNA 03,033 80 70 31 ,033 85 39 02,,6.169608,35.552893,CF BATNA,5
55,Conservation des Forêts BEJAIA,RUE FATEH MAHFOUDI ZONE INDU BEJAIA,034 18 70 90,034 18 71 28,,5.053945,36.745705,CF BEJAIA,6
56,Conservation des Forêts BISKRA,HARET EL OUED  BISKRA,033 53 04 50 / 033 53 04 54,033 53 04 53,,5.73282,34.857699,CF BISKRA,7
57,Conservation des Forêts BECHAR,"BOITE POSTAL 193, ROUTE DE L'AEROPORT  BECHAR",049 26 21 83 / 82,049 26 21 82,,-2.220973,31.624377,CF BECHAR,8
58,Conservation des Forêts BLIDA,RTE OUED ALLEUG -13 ZABANA (09000 BLIDA),025 23 58 15 /16,025 23 58 17,,2.83508,36.468434,CF BLIDA,9
59,Conservation des Forêts BOUIRA,"ZONE DES PARCS, WILAYA DE BOUIRA",026 73 28 39 /026 73 28 38,026 93 01 31,,3.882153,36.380332,CF BOUIRA,10
60,Conservation des Forêts TAMENGHASSET,HAY ECHOUMOUA B.P.126  TAMENGHASSET,029 32 01 47 /48,029 32 01 47,,5.516616,22.80151,CF TAMENGHASSET,11
61,Conservation des Forêts TEBESSA,CITE BEL AIR TEBESSA Centre,037 55 59 48,037 55 56 54,,8.112883,35.404883,CF TEBESSA,12
62,Conservation des Forêts TLEMCEN,BP N°369  TLEMCEN ,043 27 85 62,043 27 14 79,,-1.305207,34.871707,CF TLEMCEN,13
63,Conservation des Forêts TIARET,CITE ARBAOUI AEK EN FACE CITE DUABI B.P 118  TIARET,046 25 42 12,046 20 78 16,,1.30797,35.351536,CF TIARET,14
64,Conservation des Forêts TIZI OUZOU,"12, RUE LAMALI AHMED   TIZI OUZOU ",026 12 12 35 /026 12 29 27,026 12 25 57,,4.053498,36.709705,CF TIZI OUZOU,15
65,Conservation des Forêts ALGER,FERME PILOTE l'ALGEROISE EL MOHAMMADIA  ALGER,021 51 44 98,021 51 44 97,,3.162689,36.724332,CF ALGER,16
66,Conservation des Forêts DJELFA,CITE 05 JUILLET (BNET BELAKEHAL)  DJELFA,027 92 34 19,027 87 38 98,,3.263064,34.658098,CF DJELFA,17
67,Conservation des Forêts JIJEL,ROUTE DE CONSTANTINE  JIJEL 18000,034 47 17 36,034 47 46 27,,5.771968,36.812201,CF JIJEL,18
68,Conservation des Forêts SETIF,CITE AIN TBINET  SETIF,036 62 10 03/04,036 62 10 06,,5.432774,36.188236,CF SETIF,19
69,Conservation des Forêts SAIDA,RTE DE TIARET 20000 WILAYA DE SAIDA,048 51 65 84,048 41 03 13,,0.14806,34.83445,CF SAIDA,20
70,Conservation des Forêts SKIKDA,CITE BOUABAZ  SKIKDA,038 75 43 78,038 75 43 78,,6.915203,36.881544,CF SKIKDA,21
71,Conservation des Forêts SIDI BEL ABBES,N°55 RUE KAISSAR BOUZIANE CITE ADIME FATIHA  SIDI BEL ABBAS,048 68 47 38/048 68 47 27,048 65 23 58,,-0.645893,35.200838,CF SIDI BEL ABBES,22
72,Conservation des Forêts ANNABA,CITE 05 JUILLET 1962 LES HANGROIS ANNABA,038 42 30 03 ,038 42 26 32/33,,7.712227,36.885004,CF ANNABA,23
73,Conservation des Forêts GUELMA,CITE MEKHANCHA ABDELATIF  GUELMA ,037 16 99 31 ,037 14 55 57,,7.436931,36.472706,CF GUELMA,24
74,Conservation des Forêts CONSTANTINE,CITE BOUSSOUF  1er  Tranche  CONSTANTINE ,031 60 08 08 / 031 60 08 63,031 60 48 64,,6.581437,36.327659,CF CONSTANTINE,25
75,Conservation des Forêts MEDEA, RUE SAVADOR ALEND QUATIER  M'SALAH   MEDEA,025 79 36 76,025 58 14 63,,2.760548,36.260704,CF MEDEA,26
76,Conservation des Forêts MOSTAGANEM,01 RUE MEZIANE MOKHTAR 27000  MOSTAGANEM,045 41 74 68 /64,045 41 74 65,,0.066769,35.917974,CF MOSTAGANEM,27
77,Conservation des Forêts M'SILA,ROUTE DE M'SILA 28000,035 33 61 92 ,,,4.545297,35.705166,CF M'SILA,28
78,Conservation des Forêts MASCARA,RUE EL MOUDJAHID EL MOUTAWAFI KHATIR HMED BEL MOKHTAR 29000  MASCARA,045 71 88 34,045 71 92 38,,0.147403,35.400197,CF MASCARA,29
79,Conservation des Forêts OURGLA,ZONE D'ACTIVITEES 30000  WILAYA DE OUARGLA,029 71 39 42,029 71 30 05,,5.319623,31.940372,CF OURGLA,30
80,Conservation des Forêts ORAN,"RUE FRANGE MARTINS,CANASTEL  ORAN",041 62 20 62,041 62 20 63,,-0.582208,35.73215,CF ORAN,31
81,Conservation des Forêts El Bayadh,cite admin BP N°127 Rp-EL-Bayadh, 049 613 981,"49,613,982",,1.01374,33.68112,CF El Bayadh,32
82,Conservation des Forêts ILLIZI,CITE ADMINISTRATIVE  ILLIZI,029 42 18 19/ 029 42 20 87,029 40 40 24/28,,8.47012,26.509331,CF ILLIZI,33
83,Conservation des Forêts Bordj Bou Arreridj,"17 Rue Rameche Aisa, fg des jardins, Bordj Bou Aréridj",35733098,35733100,,4.771682,36.075455,CF Bordj Bou Arreridj,34
84,Conservation des Forêts BOUMERDES,CITE IBN KHELDOUNE (1200 logts)  BOUMERDES,024 79 13 42,024 81 15 70,,3.465371,36.750364,CF BOUMERDES,35
85,Conservation des Forêts EL TARF,Nouvelle cité administrative route de zitouna - El Tarf,046 55 11 19 ,046 55 11 19,,8.311596,36.758118,CF EL TARF,36
86,Conservation des Forêts TISSEMSILT,Route de Sidi Khelifa-Tissemsilt,038 60 10 23,038 60 18 73,,1.820421,35.611014,CF TISSEMSILT,38
87,Conservation des Forêts Khenchela,Allées Abdellah Ben Ahmed Khellaf-Khenchela,32746858, 032 746 745,,7.138362,35.432671,CF Khenchela,40
88,Conservation des Forêts SOUK AHRAS,CITE GUETTAR EL ZAIDI BAOULOU 01  SOUK AHRAS,037 75 11 89 ,037 75 11 85,,7.93939,36.291309,CF SOUK AHRAS,41
89,Conservation des Forêts TIPAZA,NOUVELLE CITE ADMINISTRATIVE   TIPAZA  ,024 37 62 86,024 37 62 85,,2.45757,36.589421,CF TIPAZA,42
90,Conservation des Forêts MILA,ROUTE DE LA GARE LOT 500 LOGTS MILA 43000,031 47 39 44,031 47 39 45,,6.25939,36.452659,CF MILA,43
91,Conservation des Forêts AIN DEFLA, RUE 18 FEVRIER   AIN DEFLA,027 50 53 38,028 50 53 39,,1.950493,36.260917,CF AIN DEFLA,44
