num,name,address,tel,fax,website,lon,lat,acronym,code_wil
130,Stations d’expérimentation du HCDS Khenchela - El Mahmal, , , ,,7.254166667,35.28638889,Station HCDS Khenchela - El Mahmal,40
131,Stations d’expérimentation du HCDS Batna – Barika, , , ,,5.344111111,35.35991667,Station HCDS Batna – Barika,5
132,Stations d’expérimentation du HCDS Biskra - Ouled Djellal, , , ,,5.099025,34.45745278,Station HCDS Biskra - Ouled Djellal,7
133,Stations d’expérimentation du HCDS Djelfa - Taadmit, , , ,,3.037627778,34.26854444,Station HCDS Djelfa - Taadmit,17
134,Commissariat au Développement de l'Agriculture des Régions Sahariennes,Ave 1 er November 1954,029 71 30 39,029.71.30.39/029.71.29.24,,5.324002778,31.94647222,CDARS Siège Central Ouargla,30
135,Commissariat au Développement de l'Agriculture des Régions Sahariennes, , , ,,5.978102778,33.54041111,CDARS  Antenne Djamaa,39
136,Commissariat au Développement de l'Agriculture des Régions Sahariennes, , , ,,0.2760638889,27.87338611,CDARS Antenne Adrar,1
137,OFFICE ALGÉRIEN INTERPROFESSIONNEL DES CÉRÉALES,05 RUE FERHAT BOUSSAD /Alger centre,021 23 73 04/05/06/07,021 23 73 13,www.oaic.dz,3.051741,36.765843,OAIC,16
138,OFFICE NATIONAL INTERPROFESSIONNEL DU LAIT ET DES PRODUITS LAITIERS,"Zone industrielle, route nationale N° 01 Boufarik, Blida",025 28 37 87/ 025 28 37 88,021 28 36 32,www.onab.dz,2.915039,36.58804,ONIL,16
139,OFFICE NATIONAL INTERPROFFESIONNEL DES LÉGUMES ET DE LA VIANDE,"Domaine TOURI H’Mida, route de Chéraga, Ain Benian, Alger.",023 21 02 96/93 ,023 21 02 94,www.onilev.dz,2.923407,36.798957,ONILEV,16
140,OFFICE NATIONAL DES TERRES AGRICOLES,Déménagement vers Birtouta en mars 2018,021 73 21 62,021 74 73 97,www.onta.dz/,3.002914,36.64943,ONTA,16
141,OFFICE NATIONAL DE DÉVELOPPEMENT DES ELEVAGES ÉQUINS ET CAMELINS,Haras national chaouchaoua de Tiaret,,,,1.365658,35.399953,ONDEEC,14
142,Groupe de Valorisation des PRoduits Agricoles ,22 Rue des fousillés du 17 mai 1957 El Anasser,021-68-54-17/021-67-64-44,021-67-44-53,www.gvapro-dz.com,3.083797,36.744275,GVAPRO,16
