num,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
"341",Souk-El-Tenine centre,N9 Souk El Ténine,,pv,CNA,36.6252,5.33607,SOUK EL THENINE,BEJAIA,Fruits et légumes,"2","6"
"335",Akbou centre,Akbou,,pv,CNA,36.4590161,4.5334783,AKBOU,BEJAIA,Fruits et légumes,"2","6"
"342",Kherrata centre,N9 Kherrata,,pv,CNA,36.4927,5.27759,KHERRATA,BEJAIA,Fruits et légumes,"2","6"
"343",Barchiche,El Kseur,,pv,CNA,36.678015,4.850947,EL KSEUR,BEJAIA,Fruits et légumes,"2","6"
"344",Amizour,Cité Adjeroud Amizour,,pv,CNA,36.6441,4.90561,AMIZOUR,BEJAIA,Fruits et légumes,"2","6"
"345",Bejaia centre (EDIMCO),Cité Frères Houacine Béjaia,,pv,CNA,36.7503896,5.0567333,BEJAIA,BEJAIA,Fruits et légumes,"2","6"
"346",Bejaia centre (Souk El Aasar),Cité Frères Houacine Béjaia,,pv,CNA,36.7503896,5.0567333,BEJAIA,BEJAIA,Fruits et légumes,"2","6"
"225",LAITERIE D'AMIZOUR,FILIALES CEREALES HAUTS PLATEAUX ROUTE DOASLA 06000 KHERRATA,,pv,GIPLAIT,36.4851278,5.2684056,KHERRATA,BEJAIA,Produits laitiers,"3","6"
"222",LAITERIE D'AMIZOUR,CITE 200 500 LOGEMENTS SIDI LEBHAR BLOC C10 Num 25,,pv,GIPLAIT,36.73,5.07,BEJAIA,BEJAIA,Produits laitiers,"3","6"
"334",Ighzer Amokrane centre,Ouzellaguen,,pv,CNA,36.542,4.61291,OUZELAGUEN,BEJAIA,Fruits et légumes,"2","6"
"332",Adekar centre,Adekar,,pv,CNA,36.693891,4.669138,ADEKAR,BEJAIA,Fruits et légumes,"2","6"
"397",uca bejaia,ibourassene cne Oued Ghir,,pv,OAIC,36.71018,4.99249,OUED GHIR,BEJAIA,Légumes secs,"5","6"
"396",uca bejaia,Rue des Freres Amranie arriere port Béjaia,,pv,OAIC,36.753032,5.087131,BEJAIA,BEJAIA,Légumes secs,"5","6"
"333",Sidi Aich centre,Sidi-Aich,,pv,CNA,36.6129,4.6883,SIDI AICH,BEJAIA,Fruits et légumes,"2","6"
"224",LAITERIE D'AMIZOUR,FILIALES CEREALES HAUTS PLATEAUX ROUTE DE LA GARE 06000 SIDI AICH,,pv,GIPLAIT,36.6129,4.6883,SIDI AICH,BEJAIA,Produits laitiers,"3","6"
"331",Djebha,N24 Beni Ksila,,pv,CNA,36.8825,4.66191,BENI KSILA,BEJAIA,Fruits et légumes,"2","6"
"181",cité lemsid,Hai El Messid,,pv,CNA,34.835533,5.73094,BISKRA,BISKRA,Fruits et légumes,"2","7"
"180",Ancienne cité El alia,Arret Terminus ElAlia,,pv,CNA,34.867107,5.739713,BISKRA,BISKRA,Fruits et légumes,"2","7"
"179",cité 300 logts elalia,Rue Bouadjadja Belkacem,,pv,CNA,34.853196,5.75583,BISKRA,BISKRA,Fruits et légumes,"2","7"
"178",cité 400 logts El alia,Rue N 2,,pv,CNA,34.856907,5.749811,BISKRA,BISKRA,Fruits et légumes,"2","7"
"183",cité soug El asser El alia,Rue Mimoune H'Mida,,pv,CNA,34.858598,5.743008,BISKRA,BISKRA,Fruits et légumes,"2","7"
"177",Rond point cimetière El Boukhari,Hai El Boukhari,,pv,CNA,34.844574,5.717255,BISKRA,BISKRA,Fruits et légumes,"2","7"
"184",entrée du marché berramdane,Rue Badi Mohamed,,pv,CNA,34.853025,5.727143,BISKRA,BISKRA,Produits laitiers,"3","7"
"176",l'entrée Ben Taleb,Hai El Amel,,pv,CNA,34.84107,5.709528,BISKRA,BISKRA,Fruits et légumes,"2","7"
"175",cité 726 logts,Allee Mohamed Seddik Ben Yahia,,pv,CNA,34.852409,5.706727,BISKRA,BISKRA,Fruits et légumes,"2","7"
"174",Rond point sidi Okba,Biskra,,pv,CNA,34.830373,5.764151,BISKRA,BISKRA,Fruits et légumes,"2","7"
"173",Rond point route du sahara,Hai Remaiche,,pv,CNA,34.835765,5.708989,BISKRA,BISKRA,Fruits et légumes,"2","7"
"182",route de chetma en face l'université,N31,,pv,CNA,34.849078,5.776641,BISKRA,BISKRA,Fruits et légumes,"2","7"
"208",Ain Bennaoui,N46 El hadjeb,,pv,CNA,34.807357,5.649574,EL HADJAB,BISKRA,Fruits et légumes,"2","7"
"193",Lioua centre,lioua,,pv,CNA,34.635586,5.396861,LIOUA,BISKRA,Viandes,"1","7"
"186",entrée de  Sidi Okba,1-N83 sidi okba,,pv,CNA,34.767241,5.868818,SIDI OKBA,BISKRA,Fruits et légumes,"2","7"
"398",ccls biskra,Zone d'équipement Biskra,,pv,OAIC,34.8645318187619,5.7212203087456,BISKRA,BISKRA,Légumes secs,"5","7"
"204",Dachra,Ouled Djellal,,pv,CNA,34.426556,5.064987,OULED DJELLAL,BISKRA,Produits du Terroir,"4","7"
"205",en face de la station,El outaya,,pv,CNA,34.971059,5.629966,EL OUTAYA,BISKRA,Produits du Terroir,"4","7"
"206",en face de la station,El outaya,,pv,CNA,34.971059,5.629966,EL OUTAYA,BISKRA,Fruits et légumes,"2","7"
"207",centre ville,El outaya,,pv,CNA,35.030549,5.591294,EL OUTAYA,BISKRA,Produits laitiers,"3","7"
"203",Rahba ,Ouled Djellal,,pv,CNA,34.426556,5.064987,OULED DJELLAL,BISKRA,Viandes,"1","7"
"202",centre ville,Doucen,,pv,CNA,34.604651,5.106884,DOUCEN,BISKRA,Produits laitiers,"3","7"
"201",centre ville,Doucen,,pv,CNA,34.604651,5.106884,DOUCEN,BISKRA,Produits du Terroir,"4","7"
"185",entrée du marché couvert,Boulevard de La République,,pv,CNA,34.854284,5.730803,BISKRA,BISKRA,Produits laitiers,"3","7"
"199",entrée Leghrous,N46 foughala,,pv,CNA,34.733295,5.285551,EL GHROUS,BISKRA,Produits laitiers,"3","7"
"198",Dachra,El Ghrous,,pv,CNA,34.705761,5.284497,EL GHROUS,BISKRA,Fruits et légumes,"2","7"
"200",Rahba ,Doucen,,pv,CNA,34.603639,5.106546,DOUCEN,BISKRA,Fruits et légumes,"2","7"
"196",Rahba ,W61 ourelal,,pv,CNA,34.6558,5.513569,OURLAL,BISKRA,Fruits et légumes,"2","7"
"172",Rond point Medjnich,Rue Reouina Mohamed,,pv,CNA,34.832191,5.723822,BISKRA,BISKRA,Fruits et légumes,"2","7"
"188",entrée ain naga,N83 ain naga,,pv,CNA,34.717706,5.964688,AIN NAGA,BISKRA,Fruits et légumes,"2","7"
"189",Entrée de Tolga,N46 Tolga,,pv,CNA,34.737249,5.403056,TOLGA,BISKRA,Produits laitiers,"3","7"
"197",Rahba ,ourelal,,pv,CNA,34.657319,5.518721,OURLAL,BISKRA,Viandes,"1","7"
"190",Entrée de Tolga,N46 Tolga,,pv,CNA,34.745877,5.377138,TOLGA,BISKRA,Fruits et légumes,"2","7"
"191",intersection vers Ourlel,N46B Tolga,,pv,CNA,34.724713,5.396821,TOLGA,BISKRA,Fruits et légumes,"2","7"
"187",sortie de  Sidi Okba,N83 sidi okba,,pv,CNA,34.737895,5.923584,SIDI OKBA,BISKRA,Fruits et légumes,"2","7"
"194",Lioua centre,lioua,,pv,CNA,34.63811,5.400903,LIOUA,BISKRA,Fruits et légumes,"2","7"
"195",Placette ,Oumache,,pv,CNA,34.693104,5.697912,OUMACHE,BISKRA,Fruits et légumes,"2","7"
"192",entre tolga et foughala,N46 Tolga,,pv,CNA,34.745751,5.374274,TOLGA,BISKRA,Fruits et légumes,"2","7"
"395",ccls bechar,05 ROUTE DE BACHAR DJADID BP342,,pv,OAIC,31.58593,-2.22503,BECHAR,BECHAR,Légumes secs,"5","8"
"263",LAITERIE SUD AIT,Rue Slimane Belkhdim Num 125,,pv,GIPLAIT,31.6156667,-2.2156944,BECHAR,BECHAR,Produits laitiers,"3","8"
"264",LAITERIE SUD AIT,Rue Emir AEK Num 10 centre ville d'igli,,pv,GIPLAIT,30.4528889,-2.2925833,IGLI,BECHAR,Produits laitiers,"3","8"
"265",LAITERIE SUD AIT,Marché couvert Centre ville béni Abbes ,,pv,GIPLAIT,30.1326667,-2.1704722,BENI ABBES,BECHAR,Produits laitiers,"3","8"
"42",OUED DJER ,ROUTE NATIONAL Num 04 OUED DJER ,0782 466 656,pv,AGROLOG,36.4285054882864,2.5683438539617,OUEDDJER,BLIDA,Viandes,"1","9"
"254",LAITERIE FROMAGERIE BOUDOUAOU,Num  83 Avenue  Mekerkeb Benyoucef ,,pv,GIPLAIT,36.471289,2.8118041,BLIDA,BLIDA,Produits laitiers,"3","9"
"18",BRAKNI,CITE BRAKNI BLIDA,05 61 61 45 76,pv,AGROLOG,36.4725631,2.828075,BLIDA,BLIDA,Viandes,"1","9"
"229",LAITERIE COLAITAL,Place Athmani Ali Ex Voctor Hugo Boufarik Blida,,pv,GIPLAIT,36.5733333,2.9097222,BOUFARIK,BLIDA,Produits laitiers,"3","9"
"19",OUELD YAICH,CITE 1240 OULED YAICH BLIDA,05 57 86 59 76,pv,AGROLOG,36.4972258,2.8669099,CHEBLI,BLIDA,Viandes,"1","9"
"255",LAITERIE FROMAGERIE BOUDOUAOU,Salle de sport Lasbar Ismail,,pv,GIPLAIT,36.2950838,3.6746066,BOUIRA,BOUIRA,Produits laitiers,"3","10"
"256",LAITERIE FROMAGERIE BOUDOUAOU,Rue Rabah Dermouche ( Ex ERIADH),,pv,GIPLAIT,36.3801533,3.9024082,AIN BESSAM,BOUIRA,Produits laitiers,"3","10"
"405",ccls Bouira,Rue Kermia Mebrouk Ain Bessam,,pv,OAIC,36.295358218397,3.66854437007825,AIN BESSAM,BOUIRA,Légumes secs,"5","10"
"48",el esnam,en face mosqué el esnam,0699 19 95 78,pv,AGROLOG,36.2533333,4.035,EL ASNAM,BOUIRA,Viandes,"1","10"
"47",ain bessam centre ,ain bessam centre,0656 67 59 46,pv,AGROLOG,36.2911111,3.67361111111111,AIN BESSAM,BOUIRA,Viandes,"1","10"
"46",marché couvert oued edhous,ain graouche en face polyclinique etatique bouira,0791 92 61 31,pv,AGROLOG,36.3691667,3.90083333333333,BOUIRA,BOUIRA,Viandes,"1","10"
"45",nouveau marché GROS,EN FACE DE LA BANQUE CPA BOUIRA,0558 27 47 81,pv,AGROLOG,36.3741667,3.86805555555556,BOUIRA,BOUIRA,Viandes,"1","10"
"402",ccls Bouira,Magasin sacherie Rue Rechak Ali Bouira,,pv,OAIC,36.3781295501914,3.89752072590383,BOUIRA,BOUIRA,Légumes secs,"5","10"
"403",ccls Bouira,Route Boussaada Sour El Ghozlane ,,pv,OAIC,36.1362728269255,3.69290770942278,SOUR EL GHOZLANE,BOUIRA,Légumes secs,"5","10"
"404",ccls Bouira,Centre ville  Bordj Khriss,,pv,OAIC,36.0860209998996,3.99128167189473,BORDJ OUKHRISS,BOUIRA,Légumes secs,"5","10"
"141",marché couvert,Tamanrasset,,pv,CNA,22.797089,5.518692,TAMENGHASSET,TAMENGHASSET,Fruits et légumes,"2","11"
"379",LAITERIE NUMIDIA,Chef Lieu,,pv,GIPLAIT,36.222431561506,6.51784919868182,TEBESSA,TEBESSA,Produits laitiers,"3","12"
"471",CCLS TEBESSA, ROUTE N10 Tébessa 12000,,pv,OAIC,35.4173071643912,8.08917517058149,TEBESSA,TEBESSA,Légumes secs,"5","12"
"219",LAITERIE EL MANSOURAH,Zone Semi Industrielle ABOU TECHFINE,,pv,GIPLAIT,34.902514,-1.3288558,TLEMCEN,TLEMCEN,Produits laitiers,"3","13"
"220",LAITERIE EL MANSOURAH,Marché Fruits et Légume Zone de CHETOUANE,,pv,GIPLAIT,34.922135,-1.292106,CHETOUANE,TLEMCEN,Produits laitiers,"3","13"
"221",LAITERIE EL MANSOURAH,PALAI D'EXPOSITION KOUDIA,,pv,GIPLAIT,34.916274,-1.351844,TLEMCEN,TLEMCEN,Produits laitiers,"3","13"
"217",LAITERIE EL MANSOURAH,Batiment Cité SIDI LAHCEN,,pv,GIPLAIT,34.887888,-1.305031,TLEMCEN,TLEMCEN,Produits laitiers,"3","13"
"480",CCLS DE TLEMCEN,OULED MIMOUN,,pv,OAIC,34.9046,-1.035391,OULED MIMOUN,TLEMCEN,Légumes secs,"5","13"
"479",CCLS DE TLEMCEN,CITE CHOUHADA maghnia,,pv,OAIC,34.83586,-1.726629,MAGHNIA,TLEMCEN,Légumes secs,"5","13"
"478",CCLS DE TLEMCEN,Route wilaya N 99 NEDEMORA,,pv,OAIC,35.032894,-1.771563,NEDROMA,TLEMCEN,Légumes secs,"5","13"
"477",CCLS DE TLEMCEN,Rue de Paris,,pv,OAIC,34.880553,-1.312827,TLEMCEN,TLEMCEN,Légumes secs,"5","13"
"476",ccls tlemcen,BP 62 abou tachfine,,pv,OAIC,34.902144,-1.326536,TLEMCEN,TLEMCEN,Légumes secs,"5","13"
"218",LAITERIE EL MANSOURAH,Bd exterieur Zone 32 HENNAYA,,pv,GIPLAIT,35.001723,-1.3998,TLEMCEN,TLEMCEN,Produits laitiers,"3","13"
