,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
36,Gouraya ,à proximité du marché couvert,,pv,CNA,36.568183,1.900355,GOURAYA,TIPAZA,Fruits et légumes,2,42
37,Gouraya ,marché couvert,,pv,CNA,36.568314,1.900669,GOURAYA,TIPAZA,Fruits et légumes,2,42
38,CALMANT,ROUTE DES DUNES BP 77 CALMANT CHERAGA ,0665 525 727,pv,AGROLOG,36.7579770626045,2.9270245224883,CHERAGA,ALGER,Viandes,1,16
39,H-DEY ,06 RUE IDRISI ARKOUB HUSSEIN DEY ALGER ,0556 757 084,pv,AGROLOG,36.7416667,3.0922222222222224,HUSSEIN DEY,ALGER,Viandes,1,16
40,REGHAIA,HAI EL OUANCHARISSE EX DNC MARCHE COUVER REGHAIA ,0561 206 023,pv,AGROLOG,36.7497222,3.347777777777778,REGHAIA,ALGER,Viandes,1,16
41,DOMAINE TOURI HMIDA ,DOMAINE TOURI HMIDA ROUTE DE CHERAGA AIN BENIAN,0559 956 768,pv,AGROLOG,36.7986111,2.9233333333333333,AIN BENIAN,ALGER,Viandes,1,16
42,OUED DJER ,ROUTE NATIONAL Num 04 OUED DJER ,0782 466 656,pv,AGROLOG,36.4197222,2.3963888888888887,OUEDDJER,BLIDA,Viandes,1,9
43,BENZIOUECH,BENZIOUECHE ,0657 109 714,pv,AGROLOG,36.2694444,2.7591666666666668,MEDEA,MEDEA,Viandes,1,26
44,CENTRE VILLE ,Berrouaghia à l'intérieur des boutiques en face du centre culturel,0778 75 96 06,pv,AGROLOG,36.1308333,2.938888888888889,BERROUAGHIA,MEDEA,Viandes,1,26
45,nouveau marché GROS,EN FACE DE LA BANQUE CPA BOUIRA,0558 27 47 81,pv,AGROLOG,36.3741667,3.868055555555556,BOUIRA,BOUIRA,Viandes,1,10
46,marché couvert oued edhous,ain graouche en face polyclinique etatique bouira,0791 92 61 31,pv,AGROLOG,36.3691667,3.9008333333333334,BOUIRA,BOUIRA,Viandes,1,10
47,ain bessam centre ,ain bessam centre,0656 67 59 46,pv,AGROLOG,36.2911111,3.673611111111111,AIN BESSAM,BOUIRA,Viandes,1,10
48,el esnam,en face mosqué el esnam,0699 19 95 78,pv,AGROLOG,36.2533333,4.035,EL ASNAM,BOUIRA,Viandes,1,10
49,abattoir taboukert,en face usine de transformation du bois,0555 88 24 91,pv,AGROLOG,36.7355556,3.9744444444444444,DRAA BEN KHEDA,TIZI OUZOU,Viandes,1,15
50,unité DBK,a proximité du GPLAIT DE DBK,0559 33 78 69,pv,AGROLOG,36.7338889,3.961388888888889,DRAA BEN KHEDA,TIZI OUZOU,Viandes,1,15
51,centre ville dbk,a proximité de marché des légume de DBK,0553 48 66 18,pv,AGROLOG,36.7363889,3.9722222222222223,DRAA BEN KHEDA,TIZI OUZOU,Viandes,1,15
