id,code,wilaya,city,address,lat,lon,tel,fax
37,32,El Bayadh,El Bayadh,"Rue Djlailia Chikh, BP 172 RP - EL Bayadh",33.6854149,1.0303543,(+213) 049 61.37.20,(+213) 049 61.37.20
38,33,Illizi,Illizi,"Nouvelle Zone Urbaine ZHUN, BP 142 -Illizi",26.5052245821138,8.47919611437651,(+213) 029 40.03.54,(+213) 029.40.03.64
39,34,Bordj Bou Arreridj,Bordj Bou Arreridj,"Cite des Jardins, section 84 Ilot de propriété n°59, BP 373 - Bordj Bou Arreridj",36.0739925,4.7630271,(+213) 035 73.01.09,(+213) 035.73.01.12
40,35,Boumerdes,Boumerdes,Oued Tatareg Bt B sis à côté de la Banque Extérieure d'Algérie - Boumerdès,36.7510697,3.4788905,(+213) 024.94.76.45,(+213) 024.94.76.57
41,36,El Tarf,El Tarf,"Route Nationale 44,BP 261 - El Tarf",36.7576678,8.3076343,(+213) 038.30.18.56,(+213) 038.30.18.42
42,37,Tindouf,Tindouf,"Cité Ksabi Slimane Amirate, Tindouf",27.6769121188217,-8.13892268132915,(+213) 049.37.67.82,(+213) 049.37.68.00
43,38,Tissemsilt,Tissemsilt,"Rue Djouadi, BP 164 - Tissemsilt",35.6053781,1.813098,(+213) 046.57.64.86,(+213) 046.57.65.22
44,39,El Oued,El Oued,"Cité 19 Mars Rimel, BP 128 - El Oued",33.367811,6.8516511,(+213) 032.13.93.81,(+213) 032.13.39.82
45,40,Khenchela,Khenchela,"Cité du 1er Mai, BP 186 - Khenchela",35.4269404,7.1460155,(+213) 032.72.71.51,(+213) 032.72.71.55
46,41,Souk Ahras,Souk Ahras,"Cité Draia Ahmed, Rue Behidji Mansour Bloc Administratif- Souk Ahras",36.2827045105856,7.9454867902091,(+213) 037.82.47.46,(+213) 037.82.47.52
47,42,Tipaza,Tipaza,"Chemin de la Wilaya, BP 37 - Tipaza",36.5906719,2.4433723,(+213) 024.37.63.93,(+213) 024.37.63.93
48,43,Mila,Mila,Cite Benmamer n° 334 - Mila,36.4519049,6.2584338,(+213) 031.47.71.42,(+213) 031.47.71.43
49,44,Ain Defla,Ain Defla,Rue Chahid Hadj Djilali M?Hammed -Ain Defla,36.263165907793,1.96381182628364,(+213) 027.50.64.92,(+213) 027.50.64.93
50,45,Naâma,Naâma,"Rue 1er Novembre, BP 22 - Naama",33.2668666754396,-0.309018323631392,(+213) 049.59.01.43,(+213) 049.59.03.51
51,46,Aïn Témouchent,Aïn Témouchent,"Cité Omar Ibn El Khatab ,B.P n°171 - Ain Temouchent",35.3144999802798,-1.14348350661548,(+213) 043.77.15.27,(+213) 043.77.15.27
52,47,Ghardaïa,Ghardaïa,"Rue Didouche Mourad, Bouhraoua BP 44 CTR - Ghardaia",32.4943741,3.64446,(+213) 029.28.29.67,(+213) 029.28.14.15
53,48,Relizane,Relizane,Rue des Figuiers n° 01 BP 431 -Relizane,35.7398997825274,0.554097142588416,(+213) 046.71.57.05,(+213) 046.71.61.11
54,52,Ouled Djellal,Ouled Djellal,"Centre culturel semati mohamed abed ouled
djellal",34.42428,5.06123,(+213) 033.66.47.10,(+213) 033.66.47.11
55,56,Djanet,Djanet,Centre ville Djanet,24.55498,9.48617,(029) 48.50.03,(029) 48.50.03
