num,code,code_5,nom,nom_maj,code_wil
1244,3615,36015,Chbaita Mokhtar,CHBAITA MOKHTAR,36
1245,3616,36016,Besbes,BESBES,36
1246,3617,36017,Asfour,ASFOUR,36
1247,3618,36018,Echatt,ECHATT,36
1248,3619,36019,Zerizer,ZERIZER,36
1249,3620,36020,Zitouna,ZITOUNA,36
1250,3621,36021,Ain Kerma,AIN KERMA,36
1251,3622,36022,Oued Zitoun,OUED ZITOUN,36
1252,3623,36023,Hammam Beni Salah,HAMMAM BENI SALAH,36
1253,3624,36024,Raml Souk,RAML SOUK,36
1254,3701,37001,Tindouf,TINDOUF,37
1255,3702,37002,Oum El Assel,OUM EL ASSEL,37
1256,3801,38001,Tissemsilt,TISSEMSILT,38
1257,3802,38002,Bordj Bou Naama,BORDJ BOUNAAMA,38
1258,3803,38003,Theniet El Had,THENIET EL HAD,38
1259,3804,38004,Lazharia,LAZHARIA,38
1260,3805,38005,Beni Chaib,BENI CHAIB,38
1261,3806,38006,Lardjem,LARDJEM,38
1262,3807,38007,Melaab,MELAAB,38
1263,3808,38008,Sidi Lantri,SIDI LANTRI,38
1264,3809,38009,Bordj El Emir Abdelkader,BORDJ EL EMIR ABDELKADER,38
1265,3810,38010,Layoune,LAYOUNE,38
1266,3811,38011,Khemisti,KHEMISTI,38
1267,3812,38012,Ouled Bessem,OULED BESSEM,38
1268,3813,38013,Ammari,AMMARI,38
1269,3814,38014,Youssoufia,YOUSSOUFIA,38
1270,3815,38015,Sidi Boutouchent,SIDI BOUTOUCHENT,38
1271,3816,38016,Larbaa,LARBAA,38
1272,3817,38017,Maasem,MAACEM,38
1273,3818,38018,Sidi Abed,SIDI ABED,38
1274,3819,38019,Tamalaht,TAMALAHT,38
1275,3820,38020,Sidi Slimane,SIDI SLIMANE,38
1276,3821,38021,Boucaid,BOUCAID,38
1277,3822,38022,Beni Lahcene,BENI LAHCENE,38
1278,3901,39001,El Oued,EL OUED,39
1279,3902,39002,Robbah,ROBBAH,39
1280,3903,39003,Oued El Alenda,OUED EL ALENDA,39
1281,3904,39004,Bayadha,BAYADHA,39
1282,3905,39005,Nakhla,NAKHLA,39
1283,3906,39006,Guemar,GUEMAR,39
1284,3907,39007,Kouinine,KOUININE,39
1285,3908,39008,Reguiba,REGUIBA,39
1286,3909,39009,Hamraia,HAMRAIA,39
1287,3910,39010,Taghzout,TAGHZOUT,39
1288,3911,39011,Debila,DJEBILA,39
1289,3912,39012,Hassani Abdelkrim,HASSANI ABDELKRIM,39
1290,3913,39013,Hassi Khelifa,HASSI KHELIFA,39
1291,3914,39014,Taleb Larbi,TALEB LARBI,39
1292,3915,39015,Douar El Ma,DOUAR EL MA,39
1293,3916,39016,Sidi Aoun,SIDI AOUN,39
1294,3917,39017,Trifaoui,TRIFAOU,39
1295,3918,39018,Magrane,MAGRANE,39
1296,3919,39019,Beni Guecha,BENI GUECHA,39
