num, id, type_agence, nom_agence, code_agence,  wilaya_agence, commune_agence, latitude, longitude, adresse, tel, email, horaires 
41, 3067, "2", "Cheraitia omar", "1253", "16", "16042", "36.73452", "3.28282", "Cit", "021 76 91 86", "", ""
42, 3068, "2", "Lazreg said", "1255", "16", "16014", "36.7312717", "3.0876783", "Lot n", "023.90.89.41", "", ""
43, 3069, "2", "Guettal athmane", "1259", "16", "16029", "36.73467", "3.16562", "Route nationale 24, pins maritimes-alger", "021 21 90 31 - 21-90-31", "", ""
44, 3070, "2", "Larbi said", "1260", "16", "0", "36.71484", "3.19950", "Rue baha m'hamed n", "020 47 13 03 - 021 24 41 47", "", ""
45, 3071, "2", "Kerroum abderazak", "1261", "16", "0", "36.72320", "3.20061", "Cite 1200 logts, granitex bt3 local n", "021 24 40 59 - 24 40 59", "", ""
46, 3072, "2", "Mebrak abderrahmane", "1263", "16", "16014", "36.66436", "3.09277", "Lot c - 85 route de larabaa,baraki-alger", "021 53 11 81 - 53 14 59", "", ""
47, 3073, "2", "Daoud amar", "1264", "35", "0", "36.57127", "3.59376", "Promo afritrame ain abdellah, boumerd", "020 79 50 00 -  - ", "", ""
48, 3074, "2", "Mezaguer rachid", "1265", "16", "16038", "36.79681", "3.24578", "04, avenue de la victoire, ain taya-alger", "021 86.80.52 - 86.80.51", "", ""
49, 3075, "2", "Yahyaoui mohamed", "1267", "16", "16013", "36.720194", "3.141372", "El harrache-alger", "021 52.23.06 - 52.59.06", "", ""
50, 3076, "2", "Zemourene rachid", "1271", "16", "16043", "36.73177", "3.28350", "Cit", "023 96-76-43 - 96-76-43", "", ""
51, 3077, "2", "Behbouh adel", "1272", "16", "16039", "36.78539", "3.24961", "Rn24, local 26 terre familiale bordj el bahri -alger", "021 86.29.32 - 86 29 32", "", ""
52, 3078, "2", "Ouadou abdeslam", "1273", "16", "16042", "36.73174", "3.28352", "N", "021 81 24 07 - 81 24 07", "", ""
53, 3079, "2", "Mekhabi bouzid", "1274", "16", "0", "36.73007", "3.15083", "Cit", "023 82 04 43 - 82 04 43", "", ""
54, 3080, "2", "Zitouni elhocine", "1275", "16", "0", "36.65254", "3.14637", "Cit", "021 50 23 90 - 50 23 90", "", ""
55, 3081, "2", "Lamri abdelkrim", "1276", "16", "10035", "36.37179", "3.90051", "Rue commandant si lakhdhar, ain bessam -alger", "026.87.49.03", "", ""
56, 3082, "2", "Farha abdelhamid", "1277", "16", "16037", "36.60952", "3.08874", "Sidi moussa -alger", "021 76 91 86", "", ""
57, 3083, "2", "Bouchouk djamila", "1278", "16", "16037", "36.61769", "3.12562", "Cit", "023.90.89.41", "", ""
58, 3084, "2", "Bahet ali", "1322", "16", "0", "36.72152", "3.20999", "Hai benzerga, lot n", "021 21 86 42 - 21 86 42", "", ""
59, 3085, "2", "Menassel mansour", "1325", "16", "0", "36.668093", "3.143680", "Cit", "021 50 36 24 - 50 36 24", "", ""
60, 3086, "2", "Youbi nadia", "1326", "16", "16043", "36.73166", "3.33964", "Cit", "021 84 01 29  - 84 01 70", "", ""
61, 3087, "2", "Ouiche aissa", "1374", "16", "16029", "36.7340599", "3.1623633", "6 rue seddik ramdhane, pins maritimes -alger", "021 21.97.41 - 21 97 41", "", ""
62, 3088, "2", "Benchernine arezki", "1381", "35", "35002", "36.73276", "3.39774", "Cit", "024 84-45-25 - 020 78-27-27 - 84-45-25", "", ""
63, 3089, "2", "Djafer mohamed", "1391", "16", "16013", "36.721626", "3.115966", "Cit", "021 58 69 00 - 58 68 85", "", ""
64, 3090, "2", "Adel ali", "1392", "16", "0", "36.7700788", "3.3159731", "14 rue nationale el bayada hraoua- alger", "021 66-29-99 - 66-29-99", "", ""
65, 3091, "2", "Zougari", "1393", "16", "16042", "36.74132", "3.28671", "Cit", "021-85-56-40 - 85-56-40", "", ""
66, 3092, "2", "Belhachat faiza", "1394", "16", "16042", "36.74054", "3.28935", "01, avenue felfoul mohamed rouiba-alger", "021 85.51.75 - 85.51.75", "", ""
67, 3093, "2", "Guelma a", "3003", "23", "24001", "36.4693225", "7.42957916666667", "01, rue salah makhloufi - guelma", "037 20.29.72 - 20.29.72", "", ""
68, 3094, "2", "Aga mohamdatni", "2767", "23", "24001", "36.4702433333333", "7.43528694444444", "03 , rue chorfi ali - annaba", "037.26.58.25 - 26.58.25", "", ""
69, 3095, "2", "Aga hadad", "2777", "23", "0", "36.9047944444444", "7.75533277777778", "34, rue saouli abdelkader , local n ", "038 40 14 50 - 40 14 50", "", ""
70, 3096, "1", "El bouni", "2710", "23", "24001", "36.8527433333333", "7.74513777777778", "Cit", "038 52.54.39 - 52.54.39", "", ""
71, 3097, "2", "Aga guennour", "2768", "23", "23001", "36.5970863888889", "7.73265944444444", "Rue plaine ouest , bt 149 n", "038 54 11 03 - 038 54 11 03", "", ""
72, 3098, "2", "Aga bendjdid", "2773", "23", "0", "36.8832744444444", "7.71485888888889", "Chemin de wilaya n", "038 55 28 36 - 55 28 36", "", ""
73, 3099, "2", "Aga lechekheb", "2778", "23", "0", "36.8097808333333", "7.71289833333333", "La gare sidi amer annaba", "038 57 53 38 - 57 53 38", "", ""
74, 3100, "1", "Bouteldja", "2712", "23", "23001", "36.7885294444444", "8.19665138888889", "Cit", "038 60.92.14 - 60.92.14", "", ""
75, 3101, "2", "Aga zaoui", "2779", "23", "0", "36.9016202777778", "7.75889694444444", "11 all", "038 80 16 83 - 80 16 83", "", ""
76, 3102, "2", "Aga saadi", "2780", "23", "0", "36.8976175", "7.74145666666667", "13 rue amir abdelkader annaba", "038 80 56 41 - 80 56 41", "", ""
77, 3103, "2", "Aga boughaba", "2759", "23", "23001", "36.8992219444444", "7.75948555555556", "13 rue lamara abdelkader - annaba", "038 80.12.20 - 80.12.20", "", ""
78, 3104, "2", "Aga boulehneche", "2761", "23", "23001", "36.9007061111111", "7.76086972222222", "01,rue rachedi ali - annaba", "038 80.36.51 - 80.36.51", "", ""
79, 3105, "1", "Annaba b", "2702", "23", "23001", "36.8973411111111", "7.75765277777778", "09, rue asla hocine - annaba", "038 84.15.18 - 84.15.18", "", ""
80, 3106, "1", "Annaba sts", "2706", "23", "23001", "36.8963419444444", "7.75513388888889", "12,rue merairia mohamed - annaba", "038 84.47.28 - 84.47.28", "", ""
81, 3107, "1", "Annaba c", "2703", "23", "23001", "36.8999602777778", "7.76004805555556", "02 , plase tarek ibn ziad - annaba", "038 86.20.60 - 86.20.60", "", ""
82, 3108, "2", "Aga merani", "2753", "23", "23001", "36.9014075", "7.75435666666667", "18, rue necib arifa - annaba", "038 86.27.44 - 86.27.44", "", ""
83, 3109, "1", "El houria", "2704", "23", "23001", "36.9081541666667", "7.74942694444444", "22 rue amara corba annaba.", "038 86.48.96 - 86.48.96", "", ""
84, 3110, "1", "Annaba a", "2701", "23", "23001", "36.9008388888889", "7.75458888888889", "29 , bd, bouzered hocine - annaba", "038 86.65.05 - 86.65.05", "", ""
85, 3111, "1", "El hadjar", "2709", "23", "23001", "36.8045897222222", "7.73741972222222", "Rue de la poste , el hadjar - annaba", "038 89.22.78 - 89.22.78", "", ""
86, 3112, "2", "Aga smili", "2763", "23", "23003", "36.8039613888889", "7.73600361111111", "66 zighoud youcef , n", "038 89-32-00 - 89-32-00", "", ""
87, 3113, "0", "Dr_annaba", "27", "23", "23001", "36.8963419444444", "7.75513388888889", "12, rue merairia mohamed  annaba", "", "", ""
88, 3114, "2", "Annexe aga laiche", "27541", "23", "0", "36.8947319444444", "8.44104583333333", "Place de annaba el kala", "", "", ""
89, 3115, "2", "Aga deraddji", "2781", "23", "0", "36.8986388888889", "7.74608333333333", "15 rue didouche mourad annaba", "038 47 74 30", "", ""
90, 3116, "1", "El kala", "2705", "36", "36005", "36.8922222222222", "8.43861111111111", "Rue 24 avril , el kala - el tarf", "038 66.08.93 - 66.08.93", "", ""
91, 3117, "1", "Drean", "2711", "36", "36013", "36.6854722222222", "7.75149444444444", "Route nationale drean -el tarf", "038 68.86.84 - 68.86.84", "", ""
92, 3118, "1", "Bouhadjar", "2713", "36", "36002", "36.5051452777778", "8.10593138888889", "Rue du 20 aout 1955, bouhadjar -  el tarf", "038 62.64.90 - 62.64.90", "", ""
93, 3119, "1", "El taref", "2716", "36", "36005", "36.7647222222222", "8.31388888888889", "Rue dakhile laarbi  - el tarf", "038.60.16.00 - 60.16.00", "", ""
94, 3120, "1", "Aga laiche", "2754", "36", "36001", "36.7638986111111", "8.31465694444445", "Rue tahri hacene - el tarf", "038 60 27 54 - 60 27 54", "", ""
95, 3121, "1", "Annexe boughaba", "23006", "36", "0", "36.76924", "7.90502555555556", "Ben m'hidi_el tarf", "", "", ""
96, 3122, "1", "Poste frontalier aioun", "23003", "36", "0", "36.7438888888889", "8.6325", "Poste frontalier aioun", "", "", ""
97, 3123, "1", "Poste frontalier oum tboul", "23004", "36", "0", "36.8825", "8.64166666666667", "Poste frontalier oum tboul", "", "", ""
98, 3124, "2", "Aga fnides", "2769", "24", "0", "36.5084986111111", "7.4402975", "Cit", "037 23 49 43 -  23 49 43", "", ""
99, 3125, "2", "Aga chiheb", "2770", "24", "0", "36.4505555555556", "7.43472222222222", "Oued el maiz,lotissement 26,coop n", "037 20 68 07 - 20 68 07", "", ""
100, 3126, "2", "Aga bayaa rassou", "2771", "24", "0", "36.4637680555556", "7.47508444444444", "Rue du 8 mai 1945 belkheir - guelma", "037 24-76-30 - 037 24 76 30", "", ""
101, 3127, "2", "Aga farahe", "2775", "24", "0", "36.45", "7.43972222222222", "Cit", "037 20 91 50 - 20 91 50", "", ""
102, 3128, "2", "Guelma b", "3009", "24", "24001", "36.4641608333333", "7.42979305555556", "Centre commercial ex caserne - guelma", "037 20.73.54 - 20.73.54", "", ""
103, 3129, "2", "Bouchegouf", "3013", "24", "24025", "36.4728413888889", "7.73098027777778", "Rue du 1 er novembre 1954 bouchegouf - guelma", "037 22.63.72 - 22.63.72", "", ""
104, 3130, "2", "Aga boudouda", "3052", "24", "24001", "36.4637369444444", "7.43838305555556", "Rue belkheir ciaj egta - guelma", "037 26 35 35 - 26-35-35", "", ""
105, 3131, "2", "Aga reguini", "3055", "24", "24001", "36.4665572222222", "7.42975361111111", "Rue d'announa , n", "037.26.59.59 - 26.59.59", "", ""
106, 3132, "2", "Aga manaa", "2776", "21", "0", "36.8694805555556", "6.91462138888889", "Cite fr", "038 72 41 68 - 72 41 68", "", ""
107, 3133, "1", "Skikda a", "3005", "21", "24001", "36.8643488888889", "7.90450916666667", "Cit", "038.70.55.65 - 70.55.65", "", ""
