agence,adresse,wilaya,code,lon,lat,type
Agence Naama,CITÉ 1ER NOVEMBRE 1954 BP: N°162 RP,Naama,"45",33.266731700000001,-0.312865900000000,Agence
Antenne Ain Sefra,SIEGE DE LA DAIRA,Naama,"45",33.266731700000001,-0.312865900000000,Antenne
Agence Ouargla,BP  122 PLACE DU 1ER MAI OUARGLA,Ouargla,"30",31.952741100000001,5.333534800000000,Agence
Agence Oran,"52, RUE EL BACHIR EL IBRAHIMI BP 7134 ESSIDIKIA ORAN",Oran,"31",35.698738800000001,-0.634931900000000,Agence
Antenne Oran 3,08 Rue farh el hadj haioussama (ex: Boulanger),Oran,"31",35.683008000000001,-0.647699000000000,Antenne
Agence Oum El Bouaghi,CITÉ ADMINISTRATIVE B P N° 982 OUM EL BOUAGHI,Oum El Bouaghi,"4",35.868878899999999,7.110826600000000,Agence
Agence Relizane,CITE DIAR EL OUARD,Relizane,"48",35.736280000000001,0.555028800000000,Agence
Antenne El Matmar,Antenne EL MATMAR  SIEGE DAIRA EL MATMAR,Relizane,"48",35.734214000000001,0.462802400000000,Antenne
Antenne Ammi Moussa,ANCIEN SIEGE APC-HAI COMMANDANT SI ALI AMMI MOUSSA,Relizane,"48",35.872126500000000,1.107931600000000,Antenne
Antenne Oued Rhiou,CENTRE CULTUREL HAI EL WIAAM EL MADANI,Relizane,"48",35.738340500000000,0.753280900000000,Antenne
Antenne M'Hamed Benli,DAIRA  de M'Hmed Ben Ali,Relizane,"48",36.145340300000001,0.841524800000000,Antenne
Agence Saida,EPBTP SAIDA (Entreprise dissoute),Saida,"20",34.841520699999997,0.145605500000000,Agence
Antenne Hassasna,SIEGE DE LA DAIRA,Saida,"20",34.828191799999999,0.157134500000000,Antenne
Antenne Ain El Hdjar,SIEGE DE LA DAIRA,Saida,"20",34.828191799999999,0.157134500000000,Antenne
Antenne Ouled Brahim,ROUTE DE TIRCINE COMMUNE OULED BRAHIM,Saida,"20",34.989215999999999,0.484533800000000,Antenne
Agence Setif,CITE DES TOURS SETIF,Setif,"19",36.180260400000002,5.406113200000000,Agence
Agence Sidi Bel Abbes,AVENUE ABBANE RAMDANE ? BP 325 ? SIDI BEL ABBES,Sidi Bel Abbes,"22",35.216448399999997,-0.609074700000000,Agence
Antenne Ras El Ma,AVENUE ABBANE RAMDANE SIDI BEL ABBES,Sidi Bel Abbes,"22",35.192452000000003,-0.619666700000000,Antenne
